xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01
cpt:Y	29.312500000000000
cpt:X	-97.312500000000000
1949	49.669080117031612
1950	49.526527716444086
1951	51.348353765433437
1952	51.791059325196890
1953	66.713675053479520
1954	62.049803077814921
1955	72.172431017820784
1956	47.504543996970654
1957	71.941329514256822
1958	49.307893045271406
1959	65.679796506101212
1960	61.478042179566664
1961	57.885282274560289
1962	50.524914728008611
1963	79.768457691614358
1964	50.105330070407383
1965	53.652095515661308
1966	76.672850890279477
1967	67.033949872434818
1968	67.419617945917153
1969	62.428363780237767
1970	45.321127518960111
1971	59.169171554997689
1972	46.508385348451327
1973	72.009020625413555
1974	58.087074462531433
1975	69.162050555814915
1976	41.822916954215046
1977	69.462463560194379
1978	54.092133332521293
1979	43.719485002911881
1980	65.513730541528574
1981	67.640971495672588
1982	33.587782246880096
1983	43.903258127367387
1984	19.946786960726172
1985	45.172551573321925
1986	62.326475761195290
1987	57.197988283299438
1988	60.276025912856134
1989	53.782350361827959
1990	63.140982473348970
1991	61.459390057876178
1992	55.177583184703231
1993	58.674718876657202
1994	73.410847066284077
1995	40.649230795670917
1996	66.633427370174530
1997	59.778598923304919
1998	42.640191217026981
1999	41.290155596494102
2000	64.112602221970633
2001	59.621355515953688
2002	42.258102980319102
