"","time","value"
"1957-01",-146723,45.2186453107233
"1957-02",-131698,67.0240374795106
"1957-03",-144894,44.9258073122345
"1957-04",-139305,90.8599929226727
"1957-05",-143003,139.550598823131
"1957-06",-137475,121.510788827331
"1957-07",-141112,71.876898332471
"1957-08",-140151,83.7139116914427
"1957-09",-134715,99.382200037503
"1957-10",-138260,82.7254310987575
"1957-11",-132885,88.9991235973425
"1957-12",-136369,50.3507399295356
"1958-01",-135408,60.3359318825347
"1958-02",-121478,87.4914460281666
"1958-03",-133579,71.2423188414849
"1958-04",-128355,33.852345836922
"1958-05",-131688,125.318576292352
"1958-06",-126525,92.6110868385198
"1958-07",-129797,4.50815516923038
"1958-08",-128836,73.93609668943
"1958-09",-123765,129.835653381485
"1958-10",-126945,104.646484523511
"1958-11",-121935,77.712636902761
"1958-12",-125054,67.1223412099691
"1959-01",-124093,56.4602034639618
"1959-02",-111258,76.8157731425413
"1959-03",-122264,63.7858060824219
"1959-04",-117405,63.5600252278734
"1959-05",-120373,98.8751814707797
"1959-06",-115575,102.763599990203
"1959-07",-118482,76.2622305302754
"1959-08",-117521,77.1080736170828
"1959-09",-112815,82.5974936866998
"1959-10",-115630,135.131709047806
"1959-11",-110985,70.874010133917
"1959-12",-113739,46.3170020056763
"1960-01",-112778,53.3884869099025
"1960-02",-104632,37.0252147081261
"1960-03",-110918,62.0853835408164
"1960-04",-106425,25.4753427740474
"1960-05",-109027,104.007171360504
"1960-06",-104595,95.0649943298845
"1960-07",-107136,17.5915346073435
"1960-08",-106175,78.1466923164978
"1960-09",-101835,136.96677958549
"1960-10",-104284,77.103933105152
"1960-11",-100005,76.1818479373434
"1960-12",-102393,41.5587457643762
"1961-01",-101432,39.3249417058428
"1961-02",-90790,44.0386494195101
"1961-03",-99603,75.3888753250256
"1961-04",-95475,79.8197675880407
"1961-05",-97712,81.4249603752623
"1961-06",-93645,97.8309871361729
"1961-07",-95821,59.6159392523278
"1961-08",-94860,83.6181538238776
"1961-09",-90885,70.4975957787076
"1961-10",-92969,105.142514182196
"1961-11",-89055,55.2381575347183
"1961-12",-91078,61.8670319453786
"1962-01",-90117,39.3540455644257
"1962-02",-80570,40.0275556622592
"1962-03",-88288,42.0404429986366
"1962-04",-84525,71.38069513752
"1962-05",-86397,82.1377574818062
"1962-06",-82695,101.614337435218
"1962-07",-84506,113.610269057058
"1962-08",-83545,84.9068401497649
"1962-09",-79935,97.7579254486888
"1962-10",-81654,85.9569476014195
"1962-11",-78105,43.1050520276593
"1962-12",-79763,32.2342256009373
"1963-01",-78802,41.8248931827421
"1963-02",-70350,47.6779986786569
"1963-03",-76973,50.789467672221
"1963-04",-73575,78.4076664264342
"1963-05",-75082,100.67655961677
"1963-06",-71745,104.2953548026
"1963-07",-73191,58.248886253266
"1963-08",-72230,76.7809202696541
"1963-09",-68985,133.845560522321
"1963-10",-70339,98.1679752293541
"1963-11",-67155,75.8793034682089
"1963-12",-68448,70.7100834753959
"1964-01",-67487,54.8117178120174
"1964-02",-62263,74.4267583367821
"1964-03",-65627,64.202304217579
"1964-04",-62595,64.9041833103969
"1964-05",-63736,65.6735466252402
"1964-06",-60765,105.322937760552
"1964-07",-61845,1.38901425325217
"1964-08",-60884,77.6311665354356
"1964-09",-58005,164.383664914345
"1964-10",-58993,89.7575518439761
"1964-11",-56175,50.808170064441
"1964-12",-57102,12.4578726271261
"1965-01",-56141,31.0803069134533
"1965-02",-49882,54.450548919399
"1965-03",-54312,53.4887721855662
"1965-04",-51645,99.0158465753845
"1965-05",-52421,144.802349603296
"1965-06",-49815,105.396264484511
"1965-07",-50530,144.442101492751
"1965-08",-49569,78.5906532242614
"1965-09",-47055,81.6686738588607
"1965-10",-47678,99.5638536906801
"1965-11",-45225,97.5500032135201
"1965-12",-45787,96.1764009270412
"1966-01",-44826,61.0994356307707
"1966-02",-39662,80.1824675243004
"1966-03",-42997,72.0661025326015
"1966-04",-40695,74.8265347852285
"1966-05",-41106,140.990056328448
"1966-06",-38865,104.953159065328
"1966-07",-39215,64.165033933442
"1966-08",-38254,63.6333449620251
"1966-09",-36105,82.4646974984626
"1966-10",-36363,96.2711270644038
"1966-11",-34275,65.4872581879074
"1966-12",-34472,54.3848759344456
"1967-01",-33511,36.0409503022211
"1967-02",-29442,44.3671423132356
"1967-03",-31682,40.1698219721955
"1967-04",-29745,81.7671329893759
"1967-05",-29791,75.2341049276616
"1967-06",-27915,109.269963949384
"1967-07",-27900,9.95479031925175
"1967-08",-26939,74.4494001044034
"1967-09",-25155,94.7964922329453
"1967-10",-25048,94.0228420363853
"1967-11",-23325,60.6396154526146
"1967-12",-23157,42.6099644401324
"1968-01",-22196,36.4762532037675
"1968-02",-19894,52.2988098805241
"1968-03",-20336,29.1173756423688
"1968-04",-18765,82.4087762096723
"1968-05",-18445,72.78652039205
"1968-06",-16935,98.1201927505991
"1968-07",-16554,32.0984383180824
"1968-08",-15593,85.3240432312366
"1968-09",-14175,94.7595708607217
"1968-10",-13702,107.657413766876
"1968-11",-12345,81.8074220739736
"1968-12",-11811,25.8684975539731
"1969-01",-10850,53.4085490022609
"1969-02",-8974,86.226751860707
"1969-03",-9021,57.0990561994224
"1969-04",-7815,-1.54823339859625
"1969-05",-7130,118.662133227081
"1969-06",-5985,99.4451631750223
"1969-07",-5239,59.6888179844795
"1969-08",-4278,63.8444166585406
"1969-09",-3225,112.442184907282
"1969-10",-2387,105.3591046824
"1969-11",-1395,74.2395022161045
"1969-12",-496,57.2707664750121
"1970-01",465,51.5245594342367
"1970-02",1246,65.0886295816602
"1970-03",2294,31.4777767010723
"1970-04",3135,25.8809078014354
"1970-05",4185,59.2338426631165
"1970-06",4965,105.764875334592
"1970-07",6076,6.12058191849532
"1970-08",7037,72.7490963589045
"1970-09",7725,21.4126958234671
"1970-10",8928,97.3576577941857
"1970-11",9555,50.1304704976997
"1970-12",10819,44.0292400071881
"1971-01",11780,27.2667401057566
"1971-02",11466,35.8643101870181
"1971-03",13609,20.274868772971
"1971-04",14085,88.9716243536489
"1971-05",15500,65.185140004006
"1971-06",15915,101.228275812953
"1971-07",17391,42.2385875772993
"1971-08",18352,70.7093574089366
"1971-09",18675,95.0530812644751
"1971-10",20243,107.878225531701
"1971-11",20505,68.4184192391974
"1971-12",22134,34.9831337079098
"1972-01",23095,43.3341195243863
"1972-02",22475,43.5853622818253
"1972-03",24955,41.9718689450751
"1972-04",25065,108.758168898495
"1972-05",26846,140.834237658285
"1972-06",26895,99.6782959702149
"1972-07",28737,38.0838438732918
"1972-08",29698,72.0214898799862
"1972-09",29655,122.493735478581
"1972-10",31589,128.210412162221
"1972-11",31485,102.797782468982
"1972-12",33480,90.7929632017797
"1973-01",34441,53.7388340739658
"1973-02",31934,80.5688055378846
"1973-03",36270,60.8465862996431
"1973-04",36015,82.7891003047326
"1973-05",38161,108.518476858026
"1973-06",37845,106.251046432629
"1973-07",40052,16.4989490994893
"1973-08",41013,72.5740392265256
"1973-09",40605,104.738176286336
"1973-10",42904,50.4821991058138
"1973-11",42435,37.5990166550192
"1973-12",44795,-6.63432748413807
"1974-01",45756,26.7025533836465
"1974-02",42154,38.3305108658396
"1974-03",47585,48.2466331136404
"1974-04",46965,47.8142602251675
"1974-05",49476,66.4111372659943
"1974-06",48795,106.34115148989
