X Y
-97.3125 29.3125
-97.4375 29.3125
-97.5625 29.3125
-97.6875 29.3125
-97.8125 29.3125
-97.9375 29.3125
-98.0625 29.3125
-98.1875 29.3125
-98.3125 29.3125
-98.4375 29.3125
-98.5625 29.3125
-98.6875 29.3125
-98.8125 29.3125
-97.3125 29.4375
-97.4375 29.4375
-97.5625 29.4375
-97.6875 29.4375
-97.8125 29.4375
-97.9375 29.4375
-98.0625 29.4375
-98.1875 29.4375
-98.3125 29.4375
-98.4375 29.4375
-98.5625 29.4375
-98.6875 29.4375
-98.8125 29.4375
-97.3125 29.5625
-97.4375 29.5625
-97.5625 29.5625
-97.6875 29.5625
-97.8125 29.5625
-97.9375 29.5625
-98.0625 29.5625
-98.1875 29.5625
-98.3125 29.5625
-98.4375 29.5625
-98.5625 29.5625
-98.6875 29.5625
-98.8125 29.5625
-97.3125 29.6875
-97.4375 29.6875
-97.5625 29.6875
-97.6875 29.6875
-97.8125 29.6875
-97.9375 29.6875
-98.0625 29.6875
-98.1875 29.6875
-98.3125 29.6875
-98.4375 29.6875
-98.5625 29.6875
-98.6875 29.6875
-98.8125 29.6875
-97.3125 29.8125
-97.4375 29.8125
-97.5625 29.8125
-97.6875 29.8125
-97.8125 29.8125
-97.9375 29.8125
-98.0625 29.8125
-98.1875 29.8125
-98.3125 29.8125
-98.4375 29.8125
-98.5625 29.8125
-98.6875 29.8125
-98.8125 29.8125
-97.3125 29.9375
-97.4375 29.9375
-97.5625 29.9375
-97.6875 29.9375
-97.8125 29.9375
-97.9375 29.9375
-98.0625 29.9375
-98.1875 29.9375
-98.3125 29.9375
-98.4375 29.9375
-98.5625 29.9375
-98.6875 29.9375
-98.8125 29.9375
-97.3125 30.0625
-97.4375 30.0625
-97.5625 30.0625
-97.6875 30.0625
-97.8125 30.0625
-97.9375 30.0625
-98.0625 30.0625
-98.1875 30.0625
-98.3125 30.0625
-98.4375 30.0625
-98.5625 30.0625
-98.6875 30.0625
-98.8125 30.0625
-97.3125 30.1875
-97.4375 30.1875
-97.5625 30.1875
-97.6875 30.1875
-97.8125 30.1875
-97.9375 30.1875
-98.0625 30.1875
-98.1875 30.1875
-98.3125 30.1875
-98.4375 30.1875
-98.5625 30.1875
-98.6875 30.1875
-98.8125 30.1875
-97.3125 30.3125
-97.4375 30.3125
-97.5625 30.3125
-97.6875 30.3125
-97.8125 30.3125
-97.9375 30.3125
-98.0625 30.3125
-98.1875 30.3125
-98.3125 30.3125
-98.4375 30.3125
-98.5625 30.3125
-98.6875 30.3125
-98.8125 30.3125
